Comment,Designator,Package,MidX,MidY,Rotation,Side
74HC1,U1,14pinbase,108.92,-121.08,90,top
74HC2,U2,14pinbase,129.25,-121.08,90,top
100Ω11,R1,R_0805_2012Metric,115.985,-103.675,90,top
100Ω12,R5,R_0805_2012Metric,127.409286,-103.675,90,top
100Ω111,R2,R_0805_2012Metric,118.552857,-103.675,90,top
100Ω112,R3,R_0805_2012Metric,121.105714,-103.675,90,top
100Ω113,R4,R_0805_2012Metric,123.643571,-103.675,90,top
100Ω114,R6,R_0805_2012Metric,129.945,-103.675,90,top
100Ω1111,R7,R_0805_2012Metric,132.480714,-103.675,90,top
100Ω1112,R8,R_0805_2012Metric,135.016428,-103.675,90,top
100Ω1113,R9,R_0805_2012Metric,137.552142,-103.675,90,top
100Ω1114,R10,R_0805_2012Metric,140.087856,-103.675,90,top
100Ω1115,R11,R_0805_2012Metric,142.62357,-103.675,90,top
100Ω1116,R12,R_0805_2012Metric,145.159286,-103.675,90,top
J1,J1,PinHeader_1x05_P2.54mm_Vertical,104.66,-146.264265,180,top
J2,~,PinHeader_1x09_P2.54mm_Vertical,104.66,-130.304265,180,top
J3,J3,PinHeader_1x02_P2.54mm_Vertical,107.225,-103.25,90,top
J4,~,PinHeader_1x09_P2.54mm_Vertical,147.75,-131.62,180,top
LED_BLUE1,L5,LED_0805_2012Metric,127.454286,-107.275,90,top
LED_BLUE2,L6,LED_0805_2012Metric,129.977143,-107.275,90,top
LED_BLUE3,L7,LED_0805_2012Metric,132.5,-107.275,90,top
LED_BLUE4,L8,LED_0805_2012Metric,135.022857,-107.275,90,top
LED_BLUE5,L9,LED_0805_2012Metric,137.545714,-107.275,90,top
LED_BLUE6,L10,LED_0805_2012Metric,140.068571,-107.275,90,top
LED_BLUE7,L11,LED_0805_2012Metric,142.591428,-107.275,90,top
LED_BLUE8,L12,LED_0805_2012Metric,145.114286,-107.275,90,top
LED_YELLOW1,L1,LED_0805_2012Metric,116.03,-107.275,90,top
LED_YELLOW2,L2,LED_0805_2012Metric,118.552857,-107.275,90,top
LED_YELLOW3,L3,LED_0805_2012Metric,121.075714,-107.275,90,top
LED_YELLOW4,L4,LED_0805_2012Metric,123.598571,-107.275,90,top
SN74189N1,~,16pinbase,114.76,-128.96,0,top
SN74189N2,~,16pinbase,133.26,-128.96,0,top
